,mrna,life,ocugen,stock,effect,please,thank,share,pfizer,today,people,time,ocgn,emergency,vaccination,rxdx,sinopharm,japan,year,world,thanks,day,moderna,bharatbiotech,death,kid,biotech,man,fee,mohfw,sinovac,miracle,cdc,company,need,mansukhmandviya,biontech,covidvaccine,report,scientist,congratulation,booster,pfizerbiontech,amp,risk,drug,jab,fda,covaxin,country,dos,pincode,hosp,potus,group,availability,china,month,coronavirus,government,trial,data,canada,date,list,case,bengaluru,yesterday,govcanhealth,dose,efficacy,pmoindia,shot,apollo,covishield,news,covaxinapproval,use,vaccine,side,health,slot,hospital,delta,study,doctorsoumya,week,approval,age,sputnikv,child,drtedros,sep,astrazeneca,work,get,india,sputnik,travel,bharat
people,31.0,29.0,25.0,10.0,37.0,27.0,6.0,34.0,161.0,35.0,2201.0,43.0,11.0,11.0,56.0,0.0,53.0,14.0,33.0,62.0,14.0,25.0,260.0,62.0,18.0,6.0,5.0,6.0,26.0,6.0,40.0,0.0,23.0,10.0,16.0,14.0,13.0,26.0,19.0,13.0,18.0,130.0,14.0,66.0,38.0,17.0,36.0,47.0,460.0,56.0,30.0,26.0,0.0,37.0,12.0,5.0,29.0,31.0,19.0,35.0,7.0,15.0,21.0,32.0,3.0,17.0,0.0,11.0,23.0,70.0,14.0,15.0,114.0,0.0,23.0,49.0,6.0,58.0,575.0,24.0,51.0,28.0,8.0,11.0,42.0,16.0,21.0,78.0,85.0,31.0,7.0,30.0,1.0,9.0,16.0,53.0,37.0,3.0,23.0,7.0
time,13.0,7.0,29.0,12.0,18.0,10.0,2.0,5.0,86.0,19.0,43.0,1083.0,20.0,14.0,30.0,0.0,9.0,18.0,20.0,22.0,5.0,38.0,187.0,48.0,17.0,6.0,15.0,4.0,0.0,4.0,14.0,1.0,15.0,12.0,12.0,4.0,7.0,13.0,20.0,4.0,5.0,96.0,6.0,31.0,11.0,6.0,16.0,24.0,302.0,18.0,19.0,0.0,0.0,7.0,5.0,0.0,11.0,31.0,8.0,8.0,10.0,23.0,7.0,5.0,2.0,5.0,0.0,5.0,12.0,19.0,11.0,5.0,53.0,0.0,14.0,19.0,4.0,12.0,229.0,16.0,7.0,3.0,2.0,12.0,18.0,8.0,20.0,85.0,3.0,12.0,18.0,12.0,0.0,3.0,12.0,21.0,34.0,1.0,4.0,13.0
ocgn,25.0,9.0,538.0,51.0,4.0,11.0,3.0,16.0,19.0,19.0,11.0,20.0,1243.0,8.0,6.0,0.0,0.0,0.0,7.0,29.0,2.0,14.0,1.0,123.0,1.0,10.0,17.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,21.0,1.0,0.0,8.0,6.0,3.0,1.0,8.0,0.0,15.0,1.0,4.0,5.0,82.0,975.0,11.0,4.0,0.0,0.0,11.0,4.0,0.0,1.0,9.0,1.0,2.0,16.0,18.0,44.0,4.0,1.0,7.0,0.0,5.0,31.0,4.0,12.0,1.0,6.0,0.0,2.0,22.0,15.0,9.0,127.0,5.0,7.0,0.0,0.0,15.0,8.0,1.0,42.0,102.0,11.0,0.0,33.0,8.0,1.0,0.0,7.0,12.0,21.0,0.0,5.0,17.0
emergency,19.0,1.0,32.0,2.0,5.0,11.0,4.0,2.0,26.0,20.0,11.0,14.0,8.0,1484.0,14.0,0.0,19.0,5.0,131.0,122.0,1.0,12.0,41.0,181.0,3.0,75.0,223.0,1.0,0.0,11.0,12.0,0.0,2.0,9.0,1.0,6.0,6.0,12.0,11.0,10.0,38.0,32.0,12.0,30.0,2.0,36.0,7.0,50.0,1212.0,11.0,4.0,0.0,0.0,0.0,74.0,1.0,16.0,5.0,26.0,18.0,5.0,21.0,2.0,1.0,12.0,4.0,0.0,4.0,1.0,5.0,2.0,2.0,19.0,0.0,5.0,63.0,52.0,1235.0,390.0,4.0,147.0,0.0,1.0,1.0,4.0,6.0,46.0,385.0,59.0,9.0,100.0,15.0,0.0,0.0,3.0,180.0,205.0,4.0,8.0,228.0
vaccination,18.0,8.0,3.0,2.0,22.0,18.0,21.0,9.0,171.0,145.0,56.0,30.0,6.0,14.0,2350.0,0.0,88.0,21.0,58.0,23.0,24.0,77.0,260.0,14.0,19.0,19.0,14.0,5.0,0.0,11.0,84.0,0.0,8.0,5.0,7.0,8.0,22.0,158.0,10.0,5.0,27.0,71.0,27.0,87.0,13.0,4.0,31.0,14.0,510.0,73.0,70.0,0.0,0.0,7.0,38.0,2.0,27.0,32.0,58.0,27.0,8.0,21.0,5.0,20.0,37.0,34.0,0.0,16.0,2.0,77.0,3.0,17.0,45.0,0.0,182.0,31.0,8.0,16.0,346.0,17.0,28.0,12.0,29.0,12.0,29.0,0.0,26.0,35.0,49.0,44.0,52.0,5.0,25.0,31.0,17.0,34.0,163.0,6.0,8.0,11.0
rxdx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0
sinopharm,0.0,2.0,0.0,1.0,14.0,7.0,17.0,3.0,111.0,61.0,53.0,9.0,0.0,19.0,88.0,0.0,1469.0,0.0,24.0,12.0,9.0,36.0,21.0,1.0,6.0,2.0,3.0,19.0,0.0,0.0,175.0,0.0,3.0,6.0,3.0,0.0,2.0,14.0,4.0,2.0,0.0,31.0,5.0,58.0,4.0,23.0,36.0,10.0,33.0,46.0,216.0,0.0,0.0,1.0,20.0,2.0,198.0,14.0,39.0,33.0,8.0,6.0,35.0,10.0,26.0,5.0,0.0,24.0,2.0,89.0,10.0,0.0,28.0,0.0,2.0,24.0,1.0,25.0,713.0,7.0,23.0,0.0,6.0,6.0,9.0,3.0,10.0,23.0,12.0,6.0,21.0,2.0,7.0,23.0,5.0,17.0,5.0,5.0,12.0,1.0
japan,13.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,8.0,1.0,14.0,18.0,0.0,5.0,21.0,0.0,0.0,914.0,3.0,2.0,2.0,5.0,336.0,0.0,29.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0,16.0,60.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,23.0,1.0,7.0,21.0,238.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,4.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,2.0,0.0,71.0,0.0,2.0,36.0,0.0,53.0,478.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0
year,32.0,18.0,3.0,14.0,5.0,2.0,2.0,3.0,74.0,25.0,33.0,20.0,7.0,131.0,58.0,0.0,24.0,3.0,1210.0,33.0,4.0,25.0,175.0,76.0,4.0,155.0,84.0,4.0,0.0,4.0,26.0,0.0,1.0,13.0,4.0,2.0,6.0,17.0,15.0,16.0,26.0,53.0,16.0,27.0,3.0,16.0,14.0,27.0,623.0,18.0,24.0,0.0,0.0,2.0,75.0,1.0,15.0,17.0,13.0,9.0,53.0,35.0,17.0,2.0,0.0,12.0,0.0,2.0,4.0,14.0,2.0,2.0,39.0,0.0,3.0,53.0,33.0,141.0,273.0,3.0,16.0,0.0,2.0,2.0,10.0,1.0,7.0,189.0,243.0,13.0,221.0,3.0,0.0,2.0,9.0,130.0,54.0,2.0,3.0,95.0
world,22.0,18.0,168.0,5.0,6.0,18.0,15.0,6.0,57.0,16.0,62.0,22.0,29.0,122.0,23.0,0.0,12.0,2.0,33.0,1396.0,5.0,12.0,81.0,206.0,3.0,30.0,40.0,6.0,82.0,4.0,16.0,2.0,3.0,13.0,31.0,7.0,4.0,16.0,5.0,10.0,14.0,21.0,7.0,42.0,3.0,10.0,5.0,22.0,796.0,63.0,19.0,82.0,0.0,14.0,22.0,0.0,10.0,7.0,22.0,24.0,17.0,32.0,19.0,85.0,4.0,6.0,0.0,0.0,18.0,88.0,11.0,12.0,13.0,0.0,11.0,59.0,19.0,111.0,368.0,3.0,224.0,82.0,82.0,12.0,11.0,28.0,28.0,92.0,108.0,31.0,21.0,46.0,42.0,8.0,4.0,26.0,116.0,4.0,9.0,50.0
thanks,4.0,1.0,3.0,2.0,1.0,4.0,7.0,1.0,13.0,33.0,14.0,5.0,2.0,1.0,24.0,0.0,9.0,2.0,4.0,5.0,393.0,8.0,59.0,14.0,0.0,2.0,5.0,4.0,0.0,4.0,7.0,0.0,1.0,4.0,1.0,5.0,2.0,2.0,4.0,9.0,10.0,24.0,6.0,13.0,0.0,0.0,5.0,0.0,100.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,5.0,6.0,0.0,0.0,4.0,6.0,0.0,3.0,10.0,1.0,1.0,54.0,1.0,8.0,0.0,0.0,4.0,1.0,3.0,1.0,24.0,1.0,4.0,4.0,1.0,0.0,1.0,8.0,14.0,17.0,0.0,2.0,6.0
day,16.0,5.0,10.0,15.0,38.0,6.0,4.0,3.0,68.0,82.0,25.0,38.0,14.0,12.0,77.0,0.0,36.0,5.0,25.0,12.0,8.0,2130.0,276.0,25.0,12.0,11.0,5.0,1756.0,2.0,5.0,26.0,0.0,3.0,3.0,2.0,6.0,7.0,20.0,8.0,7.0,10.0,113.0,11.0,28.0,3.0,5.0,20.0,8.0,226.0,7.0,33.0,0.0,0.0,1.0,5.0,0.0,6.0,26.0,5.0,3.0,5.0,9.0,0.0,6.0,2.0,18.0,0.0,16.0,4.0,29.0,8.0,7.0,97.0,0.0,25.0,41.0,2.0,14.0,1113.0,34.0,873.0,0.0,4.0,0.0,8.0,3.0,28.0,72.0,5.0,6.0,10.0,13.0,0.0,8.0,10.0,30.0,52.0,2.0,7.0,4.0
moderna,376.0,65.0,4.0,136.0,220.0,45.0,80.0,145.0,2081.0,308.0,260.0,187.0,1.0,41.0,260.0,0.0,21.0,336.0,175.0,81.0,59.0,276.0,10290.0,9.0,91.0,52.0,17.0,23.0,1.0,2.0,18.0,4.0,78.0,102.0,35.0,1.0,235.0,199.0,254.0,28.0,3.0,1349.0,33.0,414.0,106.0,101.0,243.0,280.0,64.0,121.0,213.0,0.0,0.0,43.0,31.0,3.0,15.0,156.0,148.0,83.0,120.0,116.0,107.0,25.0,35.0,96.0,0.0,81.0,9.0,207.0,46.0,0.0,928.0,0.0,9.0,189.0,3.0,148.0,2707.0,171.0,163.0,3.0,17.0,60.0,147.0,3.0,159.0,142.0,61.0,26.0,68.0,6.0,2.0,175.0,66.0,145.0,15.0,7.0,11.0,1.0
bharatbiotech,14.0,17.0,678.0,8.0,6.0,52.0,43.0,7.0,16.0,34.0,62.0,48.0,123.0,181.0,14.0,0.0,1.0,0.0,76.0,206.0,14.0,25.0,9.0,2597.0,2.0,53.0,125.0,4.0,0.0,84.0,2.0,0.0,1.0,16.0,54.0,103.0,0.0,35.0,22.0,32.0,122.0,20.0,0.0,68.0,0.0,24.0,17.0,97.0,2202.0,49.0,19.0,0.0,0.0,58.0,39.0,0.0,2.0,48.0,14.0,17.0,92.0,127.0,40.0,12.0,13.0,6.0,1.0,0.0,51.0,20.0,10.0,89.0,16.0,0.0,20.0,66.0,73.0,180.0,350.0,4.0,50.0,0.0,0.0,16.0,15.0,136.0,71.0,389.0,42.0,2.0,73.0,77.0,2.0,0.0,15.0,96.0,188.0,4.0,36.0,126.0
death,12.0,1.0,1.0,1.0,14.0,1.0,1.0,0.0,121.0,5.0,18.0,17.0,1.0,3.0,19.0,0.0,6.0,29.0,4.0,3.0,0.0,12.0,91.0,2.0,570.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,15.0,0.0,1.0,0.0,5.0,5.0,20.0,0.0,0.0,8.0,4.0,13.0,4.0,3.0,20.0,7.0,23.0,7.0,5.0,0.0,0.0,2.0,1.0,0.0,3.0,6.0,45.0,5.0,2.0,11.0,2.0,1.0,0.0,33.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,1.0,8.0,0.0,3.0,109.0,15.0,7.0,0.0,1.0,2.0,9.0,1.0,13.0,3.0,3.0,5.0,4.0,2.0,2.0,39.0,2.0,2.0,3.0,2.0,1.0,0.0
kid,10.0,7.0,15.0,1.0,2.0,5.0,2.0,1.0,43.0,9.0,6.0,6.0,10.0,75.0,19.0,0.0,2.0,0.0,155.0,30.0,2.0,11.0,52.0,53.0,1.0,855.0,22.0,0.0,75.0,3.0,4.0,0.0,1.0,5.0,3.0,7.0,3.0,18.0,14.0,4.0,4.0,10.0,10.0,16.0,3.0,7.0,14.0,30.0,601.0,11.0,2.0,75.0,0.0,5.0,18.0,0.0,2.0,4.0,9.0,19.0,24.0,23.0,15.0,76.0,0.0,1.0,1.0,1.0,8.0,81.0,6.0,5.0,18.0,0.0,8.0,59.0,34.0,63.0,212.0,3.0,15.0,75.0,14.0,1.0,7.0,1.0,6.0,125.0,159.0,0.0,19.0,3.0,47.0,0.0,6.0,128.0,88.0,0.0,1.0,20.0
biotech,5.0,1.0,31.0,9.0,2.0,3.0,8.0,7.0,4.0,6.0,5.0,15.0,17.0,223.0,14.0,0.0,3.0,1.0,84.0,40.0,5.0,5.0,17.0,125.0,0.0,22.0,1043.0,0.0,0.0,2.0,19.0,0.0,0.0,56.0,0.0,1.0,2.0,10.0,18.0,3.0,13.0,12.0,0.0,48.0,3.0,19.0,8.0,11.0,961.0,37.0,10.0,0.0,0.0,0.0,31.0,0.0,10.0,17.0,13.0,15.0,46.0,59.0,3.0,1.0,49.0,0.0,0.0,1.0,0.0,4.0,11.0,5.0,4.0,0.0,4.0,27.0,26.0,214.0,266.0,1.0,51.0,0.0,0.0,6.0,6.0,2.0,48.0,193.0,50.0,1.0,81.0,3.0,0.0,2.0,1.0,78.0,78.0,1.0,4.0,847.0
man,4.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,11.0,5.0,6.0,4.0,2.0,1.0,5.0,0.0,19.0,1.0,4.0,6.0,4.0,1756.0,23.0,4.0,2.0,0.0,0.0,3612.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,1.0,36.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,3.0,1.0,0.0,1760.0,0.0,1704.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0
fee,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,82.0,0.0,2.0,1.0,0.0,0.0,75.0,0.0,0.0,7765.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7194.0,0.0,0.0,7755.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7754.0,0.0,0.0,0.0,0.0,0.0,7754.0,0.0,1.0,0.0,941.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7754.0,555.0,0.0,0.0,0.0,0.0,1.0,14537.0,0.0,0.0,0.0,3772.0,0.0,0.0,0.0,51.0,618.0,0.0,0.0
mohfw,0.0,1.0,1.0,0.0,0.0,18.0,1.0,0.0,4.0,10.0,6.0,4.0,0.0,11.0,11.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,2.0,84.0,0.0,3.0,2.0,0.0,0.0,360.0,0.0,0.0,0.0,1.0,2.0,99.0,0.0,3.0,2.0,0.0,9.0,3.0,0.0,76.0,0.0,0.0,3.0,0.0,140.0,7.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,1.0,1.0,5.0,2.0,0.0,2.0,68.0,0.0,0.0,1.0,50.0,0.0,116.0,2.0,0.0,8.0,7.0,4.0,10.0,30.0,0.0,3.0,1.0,0.0,0.0,1.0,30.0,4.0,42.0,2.0,2.0,3.0,5.0,0.0,0.0,4.0,8.0,280.0,1.0,8.0,2.0
sinovac,5.0,7.0,0.0,7.0,15.0,8.0,26.0,4.0,80.0,46.0,40.0,14.0,0.0,12.0,84.0,0.0,175.0,1.0,26.0,16.0,7.0,26.0,18.0,2.0,9.0,4.0,19.0,1.0,0.0,0.0,1937.0,0.0,2.0,17.0,6.0,0.0,11.0,30.0,6.0,0.0,0.0,62.0,4.0,50.0,10.0,10.0,36.0,6.0,40.0,32.0,95.0,0.0,0.0,0.0,1.0,0.0,179.0,16.0,28.0,21.0,22.0,18.0,33.0,4.0,18.0,7.0,0.0,9.0,1.0,93.0,21.0,0.0,74.0,0.0,6.0,30.0,0.0,45.0,622.0,10.0,40.0,0.0,5.0,11.0,38.0,0.0,14.0,24.0,6.0,33.0,25.0,4.0,1.0,30.0,5.0,21.0,8.0,5.0,13.0,1.0
miracle,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,465.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,341.0,1.0,1.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1.0,0.0,0.0,259.0,1.0,0.0,0.0,0.0,111.0,0.0,0.0
