,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,today,covidvaccines,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,hope,sputnikv,oxford,worker,astrazeneca,work,get,end,care,india
today,25.0,19.0,7.0,32.0,70.0,87.0,47.0,109.0,83.0,15.0,4037.0,3.0,83.0,28.0,52.0,10.0,11.0,4.0,42.0,225.0,61.0,1.0,61.0,59.0,6.0,25.0,70.0,19.0,11.0,120.0,219.0,1087.0,3.0,102.0,61.0,16.0,10.0,25.0,12.0,1.0,7.0,120.0,9.0,10.0,165.0,10.0,4.0,29.0,44.0,35.0,3.0,105.0,106.0,177.0,2.0,422.0,28.0,56.0,46.0,51.0,6.0,24.0,43.0,29.0,42.0,25.0,19.0,240.0,31.0,9.0,124.0,83.0,176.0,17.0,60.0,425.0,8.0,61.0,46.0,5.0,1313.0,54.0,51.0,32.0,58.0,5.0,14.0,105.0,11.0,45.0,14.0,88.0,14.0,24.0,21.0,31.0,110.0,13.0,11.0,80.0
covidvaccines,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,25.0,0.0,3.0,113.0,5.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,24.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,0.0,13.0,1.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,25.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,2.0,4.0,2.0,0.0,1.0,5.0
people,8.0,12.0,5.0,104.0,15.0,63.0,19.0,22.0,110.0,12.0,83.0,5.0,2258.0,57.0,42.0,6.0,8.0,3.0,10.0,151.0,27.0,0.0,45.0,15.0,0.0,6.0,47.0,28.0,27.0,14.0,62.0,168.0,26.0,13.0,54.0,11.0,3.0,4.0,7.0,6.0,18.0,6.0,9.0,3.0,26.0,32.0,0.0,8.0,3.0,7.0,5.0,23.0,50.0,50.0,3.0,251.0,61.0,15.0,11.0,7.0,20.0,33.0,7.0,21.0,40.0,37.0,18.0,15.0,23.0,28.0,13.0,24.0,52.0,14.0,18.0,59.0,3.0,48.0,30.0,1.0,653.0,45.0,36.0,0.0,21.0,27.0,15.0,41.0,5.0,8.0,14.0,78.0,16.0,5.0,24.0,21.0,47.0,5.0,10.0,52.0
number,2.0,2.0,1.0,3.0,3.0,9.0,2.0,4.0,21.0,5.0,28.0,0.0,57.0,495.0,12.0,0.0,3.0,0.0,2.0,59.0,4.0,0.0,11.0,3.0,0.0,1.0,5.0,15.0,1.0,3.0,21.0,119.0,14.0,15.0,12.0,3.0,3.0,3.0,2.0,0.0,6.0,1.0,1.0,1.0,15.0,6.0,0.0,1.0,2.0,0.0,2.0,8.0,17.0,10.0,4.0,41.0,13.0,62.0,3.0,5.0,0.0,8.0,2.0,9.0,15.0,5.0,7.0,1.0,40.0,6.0,4.0,1.0,9.0,12.0,8.0,28.0,3.0,3.0,5.0,1.0,155.0,6.0,11.0,0.0,5.0,1.0,6.0,15.0,2.0,4.0,1.0,15.0,4.0,6.0,9.0,2.0,9.0,0.0,1.0,6.0
time,6.0,11.0,5.0,17.0,32.0,24.0,5.0,16.0,50.0,9.0,52.0,3.0,42.0,12.0,1137.0,9.0,7.0,10.0,4.0,61.0,18.0,0.0,30.0,13.0,0.0,4.0,33.0,21.0,8.0,11.0,40.0,185.0,3.0,24.0,16.0,3.0,1.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,25.0,7.0,0.0,6.0,10.0,3.0,0.0,19.0,33.0,33.0,0.0,156.0,15.0,13.0,6.0,10.0,5.0,30.0,21.0,19.0,16.0,11.0,5.0,4.0,11.0,8.0,21.0,12.0,20.0,12.0,26.0,62.0,15.0,20.0,8.0,3.0,314.0,17.0,14.0,1.0,4.0,5.0,13.0,25.0,7.0,5.0,5.0,45.0,9.0,4.0,22.0,11.0,13.0,2.0,3.0,44.0
ocgn,1.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,7.0,0.0,10.0,0.0,6.0,0.0,9.0,503.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,0.0,0.0,13.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,6.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,14.0,401.0,8.0,8.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,4.0,0.0,2.0,13.0,1.0,0.0,0.0,8.0,4.0,4.0,0.0,28.0,0.0,0.0,96.0,3.0,3.0,0.0,0.0,3.0,4.0,5.0,12.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,5.0,1.0,1.0,15.0
president,2.0,0.0,0.0,0.0,25.0,2.0,3.0,11.0,5.0,1.0,11.0,1.0,8.0,3.0,7.0,0.0,631.0,0.0,2.0,9.0,45.0,0.0,49.0,3.0,0.0,1.0,3.0,6.0,0.0,14.0,11.0,18.0,1.0,2.0,35.0,1.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,12.0,11.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,7.0,22.0,0.0,14.0,14.0,21.0,1.0,0.0,0.0,89.0,0.0,7.0,25.0,12.0,1.0,0.0,2.0,3.0,1.0,3.0,6.0,1.0,0.0,16.0,23.0,7.0,7.0,2.0,211.0,2.0,9.0,2.0,2.0,0.0,7.0,6.0,2.0,3.0,4.0,56.0,1.0,1.0,3.0,5.0,10.0,2.0,1.0,7.0
article,0.0,3.0,0.0,0.0,1.0,6.0,2.0,2.0,13.0,0.0,4.0,1.0,3.0,0.0,10.0,0.0,0.0,185.0,0.0,10.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,1.0,13.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,4.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,13.0,0.0,0.0,27.0,3.0,5.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,9.0,1.0,0.0,57.0,2.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,0.0,12.0,0.0,0.0,3.0,5.0,2.0,1.0,0.0,9.0
emergency,1.0,1.0,0.0,0.0,11.0,3.0,7.0,3.0,13.0,1.0,42.0,3.0,10.0,2.0,4.0,3.0,2.0,0.0,989.0,7.0,105.0,0.0,61.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,9.0,10.0,2.0,0.0,41.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,19.0,3.0,2.0,0.0,0.0,0.0,3.0,13.0,4.0,17.0,120.0,42.0,9.0,0.0,0.0,1.0,60.0,0.0,3.0,35.0,25.0,10.0,0.0,5.0,9.0,1.0,1.0,3.0,9.0,1.0,7.0,0.0,62.0,781.0,1.0,612.0,0.0,49.0,1.0,3.0,13.0,3.0,8.0,149.0,1.0,1.0,335.0,1.0,1.0,8.0,2.0,53.0,1.0,2.0,287.0
vaccination,45.0,15.0,6.0,14.0,38.0,54.0,17.0,67.0,145.0,62.0,225.0,1.0,151.0,59.0,61.0,3.0,9.0,10.0,7.0,3190.0,43.0,0.0,83.0,42.0,3.0,51.0,47.0,45.0,12.0,48.0,166.0,379.0,36.0,31.0,91.0,12.0,9.0,8.0,15.0,3.0,18.0,13.0,9.0,8.0,89.0,24.0,0.0,23.0,10.0,28.0,5.0,68.0,67.0,48.0,1.0,369.0,55.0,71.0,13.0,12.0,16.0,54.0,57.0,32.0,89.0,58.0,14.0,14.0,37.0,28.0,51.0,61.0,51.0,18.0,45.0,103.0,6.0,48.0,18.0,5.0,528.0,33.0,66.0,24.0,55.0,14.0,31.0,59.0,2.0,23.0,18.0,118.0,18.0,33.0,73.0,21.0,58.0,6.0,14.0,136.0
russia,42.0,2.0,1.0,3.0,40.0,3.0,11.0,10.0,13.0,3.0,61.0,1.0,27.0,4.0,18.0,0.0,45.0,1.0,105.0,43.0,2737.0,0.0,6.0,0.0,0.0,3.0,31.0,34.0,0.0,3.0,19.0,9.0,21.0,0.0,3.0,12.0,3.0,0.0,0.0,6.0,7.0,5.0,0.0,52.0,34.0,29.0,26.0,7.0,11.0,2.0,0.0,1.0,36.0,31.0,2.0,16.0,128.0,104.0,8.0,0.0,5.0,67.0,2.0,40.0,147.0,35.0,24.0,400.0,682.0,21.0,5.0,1.0,9.0,19.0,8.0,17.0,54.0,47.0,139.0,15.0,1063.0,1.0,31.0,5.0,2.0,4.0,18.0,21.0,69.0,7.0,4.0,944.0,5.0,1.0,28.0,6.0,26.0,11.0,1.0,149.0
pfizercovidvaccine,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
sinopharm,18.0,3.0,1.0,10.0,42.0,17.0,12.0,9.0,35.0,1.0,61.0,1.0,45.0,11.0,30.0,0.0,49.0,1.0,61.0,83.0,6.0,0.0,1923.0,1.0,15.0,5.0,18.0,23.0,5.0,7.0,28.0,11.0,2.0,1.0,129.0,6.0,7.0,4.0,2.0,5.0,6.0,4.0,6.0,3.0,56.0,18.0,10.0,2.0,4.0,6.0,0.0,6.0,43.0,67.0,0.0,11.0,71.0,153.0,5.0,5.0,26.0,525.0,9.0,17.0,81.0,46.0,24.0,2.0,9.0,31.0,7.0,0.0,12.0,41.0,4.0,45.0,158.0,22.0,85.0,9.0,1216.0,10.0,54.0,3.0,9.0,3.0,18.0,17.0,22.0,15.0,3.0,39.0,6.0,17.0,25.0,23.0,25.0,8.0,1.0,5.0
everyone,4.0,5.0,3.0,6.0,1.0,9.0,4.0,37.0,25.0,2.0,59.0,0.0,15.0,3.0,13.0,1.0,3.0,1.0,0.0,42.0,0.0,1.0,1.0,461.0,0.0,3.0,15.0,6.0,4.0,22.0,10.0,90.0,3.0,5.0,6.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,17.0,1.0,0.0,4.0,3.0,5.0,2.0,4.0,12.0,9.0,1.0,69.0,4.0,0.0,7.0,7.0,1.0,3.0,9.0,7.0,3.0,7.0,1.0,0.0,1.0,1.0,8.0,8.0,10.0,4.0,6.0,34.0,0.0,6.0,1.0,0.0,147.0,9.0,5.0,3.0,4.0,0.0,1.0,9.0,1.0,6.0,8.0,12.0,5.0,2.0,5.0,10.0,41.0,3.0,3.0,17.0
dubai,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,45.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
site,3.0,6.0,2.0,1.0,0.0,33.0,1.0,9.0,12.0,7.0,25.0,1.0,6.0,1.0,4.0,0.0,1.0,2.0,0.0,51.0,3.0,0.0,5.0,3.0,0.0,323.0,2.0,1.0,8.0,2.0,39.0,85.0,0.0,32.0,2.0,2.0,0.0,155.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,6.0,1.0,0.0,0.0,2.0,0.0,12.0,11.0,7.0,0.0,17.0,2.0,3.0,5.0,5.0,0.0,2.0,6.0,1.0,2.0,0.0,7.0,0.0,0.0,1.0,13.0,2.0,17.0,0.0,40.0,28.0,0.0,4.0,0.0,0.0,87.0,27.0,2.0,1.0,4.0,1.0,5.0,13.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,1.0,7.0,2.0,0.0,1.0
year,4.0,3.0,6.0,7.0,4.0,6.0,2.0,22.0,31.0,5.0,70.0,3.0,47.0,5.0,33.0,3.0,3.0,4.0,4.0,47.0,31.0,0.0,18.0,15.0,1.0,2.0,849.0,10.0,2.0,9.0,52.0,176.0,7.0,7.0,6.0,1.0,4.0,1.0,1.0,3.0,2.0,6.0,2.0,4.0,27.0,8.0,0.0,0.0,12.0,2.0,0.0,14.0,16.0,6.0,0.0,68.0,6.0,30.0,5.0,7.0,13.0,9.0,6.0,46.0,22.0,4.0,30.0,2.0,3.0,5.0,9.0,6.0,17.0,5.0,7.0,42.0,0.0,14.0,4.0,2.0,288.0,5.0,4.0,3.0,7.0,5.0,9.0,18.0,1.0,5.0,2.0,41.0,1.0,5.0,8.0,7.0,24.0,15.0,1.0,30.0
world,4.0,2.0,3.0,12.0,4.0,8.0,7.0,8.0,117.0,3.0,19.0,3.0,28.0,15.0,21.0,9.0,6.0,1.0,4.0,45.0,34.0,0.0,23.0,6.0,4.0,1.0,10.0,977.0,1.0,8.0,28.0,51.0,7.0,2.0,41.0,4.0,0.0,0.0,10.0,2.0,3.0,2.0,19.0,3.0,21.0,4.0,3.0,3.0,12.0,2.0,0.0,15.0,34.0,19.0,2.0,170.0,105.0,15.0,5.0,3.0,2.0,42.0,3.0,5.0,46.0,5.0,21.0,41.0,5.0,35.0,3.0,12.0,7.0,24.0,4.0,38.0,1.0,28.0,28.0,1.0,430.0,7.0,35.0,0.0,2.0,53.0,7.0,9.0,7.0,10.0,4.0,106.0,6.0,0.0,18.0,13.0,9.0,2.0,0.0,89.0
reaction,0.0,14.0,5.0,2.0,0.0,16.0,7.0,1.0,39.0,11.0,11.0,2.0,27.0,1.0,8.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,5.0,4.0,0.0,8.0,2.0,1.0,378.0,1.0,18.0,95.0,16.0,16.0,2.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,4.0,0.0,11.0,19.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0,10.0,0.0,6.0,0.0,0.0,1.0,4.0,2.0,3.0,5.0,1.0,5.0,2.0,3.0,2.0,11.0,1.0,10.0,3.0,13.0,0.0,11.0,39.0,0.0,1.0,0.0,0.0,164.0,13.0,4.0,1.0,0.0,13.0,1.0,5.0,0.0,2.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0
thanks,2.0,4.0,7.0,15.0,4.0,15.0,7.0,8.0,15.0,2.0,120.0,1.0,14.0,3.0,11.0,0.0,14.0,0.0,1.0,48.0,3.0,0.0,7.0,22.0,1.0,2.0,9.0,8.0,1.0,864.0,22.0,158.0,4.0,14.0,7.0,1.0,1.0,5.0,3.0,0.0,2.0,2.0,3.0,3.0,31.0,6.0,1.0,24.0,16.0,7.0,1.0,32.0,23.0,43.0,0.0,80.0,3.0,7.0,34.0,6.0,6.0,5.0,12.0,6.0,4.0,16.0,2.0,1.0,5.0,6.0,21.0,13.0,18.0,4.0,10.0,45.0,2.0,13.0,2.0,1.0,199.0,12.0,22.0,25.0,6.0,3.0,2.0,12.0,2.0,12.0,2.0,24.0,4.0,21.0,5.0,8.0,20.0,1.0,4.0,8.0
day,4.0,38.0,9.0,18.0,24.0,124.0,18.0,24.0,70.0,33.0,219.0,3.0,62.0,21.0,40.0,13.0,11.0,1.0,9.0,166.0,19.0,1.0,28.0,10.0,1.0,39.0,52.0,28.0,18.0,22.0,2535.0,587.0,23.0,169.0,32.0,8.0,2.0,43.0,3.0,2.0,8.0,16.0,4.0,11.0,57.0,23.0,0.0,10.0,10.0,12.0,2.0,38.0,66.0,95.0,0.0,150.0,19.0,35.0,15.0,58.0,6.0,19.0,30.0,10.0,30.0,12.0,9.0,22.0,33.0,10.0,63.0,31.0,76.0,6.0,55.0,249.0,4.0,38.0,13.0,1.0,580.0,99.0,28.0,6.0,14.0,5.0,16.0,72.0,10.0,14.0,7.0,42.0,10.0,7.0,15.0,35.0,52.0,14.0,2.0,34.0
moderna,28.0,126.0,202.0,80.0,4.0,461.0,91.0,272.0,1400.0,125.0,1087.0,24.0,168.0,119.0,185.0,2.0,18.0,13.0,10.0,379.0,9.0,2.0,11.0,90.0,0.0,85.0,176.0,51.0,95.0,158.0,587.0,12704.0,63.0,556.0,10.0,60.0,15.0,104.0,60.0,66.0,26.0,24.0,177.0,65.0,667.0,79.0,0.0,143.0,73.0,83.0,9.0,51.0,347.0,223.0,29.0,29.0,28.0,203.0,170.0,206.0,13.0,7.0,219.0,227.0,179.0,39.0,164.0,59.0,41.0,75.0,328.0,2.0,415.0,30.0,387.0,1530.0,9.0,151.0,36.0,35.0,3536.0,338.0,87.0,20.0,22.0,131.0,32.0,377.0,14.0,122.0,39.0,30.0,19.0,24.0,222.0,75.0,231.0,55.0,29.0,23.0
